matrix,gpu_baseline_ms,v1_conservative_ms,v1_speedup,v2_conservative_ms,v2_speedup
ASIC_100k,0.138408,0.104694,1.322,0.122557,1.129
Stanford,0.350585,0.092439,3.793,0.102311,3.427
bcsstk32,0.099581,0.035988,2.767,0.033810,2.945
cant,0.129579,0.064403,2.012,0.058158,2.228
consph,0.170734,0.100790,1.694,0.091738,1.861
crankseg_2,0.222282,0.204558,1.087,0.188244,1.181
ct20stif,0.106881,0.046733,2.287,0.043931,2.433
lhr71,0.117986,0.033054,3.570,0.032360,3.646
ohne2,0.279932,0.127170,2.201,0.123701,2.263
pdb1HYS,0.103166,0.065871,1.566,0.059546,1.733
pwtk,0.361986,0.188104,1.924,0.172957,2.093
rma10,0.102458,0.041280,2.482,0.038887,2.635
shipsec1,0.208423,0.073868,2.821,0.069925,2.981
soc-sign-epinions,0.176878,0.052352,3.379,0.059837,2.956
webbase-1M,0.867231,0.247931,3.498,0.286732,3.025
xenon2,0.234144,0.075202,3.114,0.070334,3.330
