matrix,rows,cols,nnz,draf_rows,bga_partials_after,base_cycle,base_ms,conservative_cycle,conservative_ms
ASIC_100k,99340,99340,940621,16184,408072,67884,0.067884,104694,0.104694
Stanford,281903,281903,2312497,48119,585617,64735,0.064735,92439,0.092439
bcsstk32,44609,44609,2014701,21420,121890,24866,0.024866,35988,0.035988
cant,62451,62451,4007383,40188,171782,45011,0.045011,64403,0.064403
consph,83334,83334,6010480,63320,260731,70877,0.070877,100790,0.10079
crankseg_2,63838,63838,14148858,131029,275147,145766,0.145766,204558,0.204558
ct20stif,52329,52329,2600295,26986,151676,32513,0.032513,46733,0.046733
lhr71,70304,70304,1494006,21735,144030,23733,0.023733,33054,0.033054
ohne2,181343,181343,6869939,74910,464433,87507,0.087507,127170,0.12717
pdb1HYS,36417,36417,4344765,41263,129060,46397,0.046397,65871,0.065871
pwtk,217918,217918,11524432,121568,517065,134049,0.134049,188104,0.188104
rma10,46835,46835,2329092,23494,118488,29298,0.029298,41280,0.04128
shipsec1,140874,140874,3568176,41226,359071,49238,0.049238,73868,0.073868
soc-sign-epinions,131828,131828,841372,17183,400295,30581,0.030581,52352,0.052352
webbase-1M,1000005,1000005,3105536,157126,1660530,193100,0.1931,247931,0.247931
xenon2,157464,157464,3866688,42697,342819,51914,0.051914,75202,0.075202
