module,parameters,instances_in_top,mapped_cell_count,combinational_cell_count,sequential_cell_count,total_area,sequential_area,unmapped_cells,latches,constant_output_bits,warnings_unique,warnings_total
csc_descriptor_engine,LANES=16,1,1353,1095,258,628.359168,329.711616,0,0,0,13,13
csc_agu,ADDR_W=64;TAG_W=8;VALUE_BASE=0;INDEX_BASE=131072;X_BASE=262144,1,525,517,8,156.254208,10.223616,0,0,5,13,13
csc_request_tracker,DEPTH=16;TAG_W=8,1,869,687,182,469.450752,232.587264,0,0,0,13,15
csc_batch_ingress,BATCH_WIDTH=8;ROW_W=32;VALUE_W=16,1,2074,1681,393,889.159680,502.235136,0,0,0,13,13
csc_bga,ACC_ENTRIES=64;COMPARE_W=64;INPUT_DEPTH=64;OUTPUT_DEPTH=64;ROW_W=32;VALUE_W=16;BATCH_WIDTH=8,1,58102,48391,9711,26278.379520,12410.191872,0,0,0,13,20
csc_partial_event_gen,none,1,4173,3384,789,1774.977024,1008.304128,0,0,0,13,13
csc_burst_packer,none,1,857,597,260,491.667456,332.267520,0,0,0,13,13
csc_result_transport_ctrl,ADDR_W=64;TAG_W=8;PENDING_WRITE_DEPTH=4;MAX_INFLIGHT_WRITES=2;MAX_INFLIGHT_READS=2;RESULT_BASE=0,1,6951,5496,1455,3089.842176,1859.420160,0,0,64,13,13
csc_bg_engine,BATCH_WIDTH=8;INPUT_DEPTH=64;ACC_ENTRIES=64;COMPARE_W=64;OUTPUT_DEPTH=64,1,77203,63756,13447,34718.269440,17184.620544,0,0,0,13,22
csc_added_hw_top,BATCH_WIDTH=8;INPUT_DEPTH=64;ACC_ENTRIES=64;COMPARE_W=64;OUTPUT_DEPTH=64,1,77040,63593,13447,34709.372928,17184.620544,0,0,0,13,22
