module,array_name,element_width,depth,total_bits,read_ports,write_ports,reset_behavior,instances,current_implementation,expected_ff_count,mux_decoder_structure,bg_replicated
csc_bga,inq_row,32,64,2048,"1 dynamic asynchronous read","1 selected synchronous write","payload not reset; pointers/count reset",1,"frontend register list",2048,"64:1 row mux plus queue address decode",yes
csc_bga,inq_val,16,64,1024,"1 dynamic asynchronous read used by add/allocation","1 selected synchronous write","payload not reset; pointers/count reset",1,"frontend register list",1024,"64:1 value mux plus queue address decode",yes
csc_bga,tags,32,64,2048,"64 parallel associative comparisons plus selected victim read","1 selected synchronous write","payload not reset; valid bitmap reset",1,"frontend register list",2048,"64x32 equality compare; priority/free/victim select; result mux",yes
csc_bga,sums,16,64,1024,"selected hit/victim read","1 selected synchronous write","payload not reset; valid bitmap reset",1,"frontend register list",1024,"64:1 value selection and indexed write enable",yes
csc_bga,ages,6,64,384,"64 parallel rank reads","up to 64 conditional writes during rank decrement","payload not reset; ignored while valid=0",1,"frontend register list",384,"minimum/victim reduction plus per-entry decrement/write enables",yes
csc_bga,valid,1,64,64,"64 parallel valid/free reads","selected set/clear","entire bitmap reset to zero",1,"flip-flop vector",64,"free priority and occupancy reduction",yes
csc_bga,outq_row,32,64,2048,"1 dynamic asynchronous read","1 selected synchronous write","payload not reset; pointers/count reset",1,"frontend register list",2048,"64:1 row mux plus queue address decode",yes
csc_bga,outq_val,16,64,1024,"1 dynamic asynchronous read","1 selected synchronous write","payload not reset; pointers/count reset",1,"frontend register list",1024,"64:1 value mux plus queue address decode",yes
csc_request_tracker,tags,8,16,128,"16 parallel associative comparisons","1 selected synchronous write","payload not reset; valid bitmap reset",1,"frontend register list",128,"16x8 equality compare and priority match",yes
csc_request_tracker,types,2,16,32,"1 selected read after match","1 selected synchronous write","payload not reset; valid bitmap reset",1,"frontend register list",32,"16:1 type mux",yes
csc_result_transport_ctrl,pending_data,256,4,1024,"1 dynamic asynchronous read","1 selected synchronous write","payload not reset; queue count reset",1,"frontend register list",1024,"4:1 256-bit mux and indexed write enable",yes_in_current_RTL
csc_result_transport_ctrl,pending_count,3,4,12,"no functional read","1 selected synchronous write","not reset",1,"frontend register list then optimized away",12,"none after optimization",yes_in_current_RTL
csc_result_transport_ctrl,wtags,8,2,16,"2 parallel comparisons","1 selected synchronous write","payload not reset; wvalid reset",1,"frontend register list",16,"2x8 compare/free select",yes_in_current_RTL
csc_result_transport_ctrl,rtags,8,2,16,"2 parallel comparisons","1 selected synchronous write","payload not reset; rvalid reset",1,"frontend register list",16,"2x8 compare/free select",yes_in_current_RTL
